Virus,Host,blastScore,crisprScore,mashScore,wishScore
NC_000896,NC_005362,282.0,NaN,NaN,-1.34282
# Std,,302.568,NaN,0.01,0.001
NC_000902,NC_002695,66726.0,NaN,0.819206,-1.33079
NC_000902,NC_002695,66726.0,NaN,0.819206,-1.33079
NC_000902,NC_002695,66726.0,NaN,0.819206,-1.33079
# Std,,0.0,NaN,0.0,0.0
NC_000924,NC_002655,123340.0,NaN,0.821076,-1.33234
NC_000924,NC_002655,123340.0,NaN,0.821076,-1.33234
NC_000924,NC_002655,123340.0,NaN,0.821076,-1.33234
# Std,,0.0,NaN,0.0,0.0
NC_000929,NC_016902,73418.0,NaN,0.8017529999999999,-1.31798
NC_000929,NC_017664,73418.0,NaN,0.801814,-1.34582
NC_000929,NC_017660,73404.0,NaN,0.802826,-1.35068
NC_000929,NC_022364,73414.0,NaN,0.802826,-1.34701
NC_000929,NC_016902,73418.0,NaN,0.8017529999999999,-1.31798
# Std,,5.426,NaN,0.001,0.015
NC_001271,NC_012892,2130.0,NaN,NaN,-1.40918
NC_001271,NC_012947,2130.0,NaN,NaN,-1.40669
NC_001271,NC_012971,2130.0,NaN,NaN,-1.40918
NC_001271,NC_003155,NaN,NaN,0.484772,-1.47956
NC_001271,NC_015957,NaN,NaN,0.484772,-1.48275
NC_001271,NC_015501,NaN,NaN,0.484772,-1.4122
NC_001271,NC_001382,NaN,NaN,NaN,-1.38644
# Std,,0.0,NaN,0.0,0.035
NC_001330,NC_003212,54.0,NaN,NaN,-1.39946
NC_001330,NC_004350,NaN,NaN,NaN,-1.38107
# Std,,0.0,NaN,NaN,0.009
NC_001331,NC_023019,8234.0,NaN,0.679713,-1.34542
NC_001331,NC_021577,926.0,30.0,0.484772,-1.34526
NC_001331,NC_023019,8234.0,NaN,0.679713,-1.34542
NC_001331,NC_002516,7000.0,NaN,0.671035,-1.32767
# Std,,3028.538,0.0,0.083,0.008
NC_001332,NC_017632,956.0,NaN,NaN,-1.38124
NC_001332,NC_011653,NaN,NaN,0.484772,-1.40412
NC_001332,NC_014828,NaN,NaN,0.484772,-1.42074
NC_001332,NC_012962,NaN,NaN,NaN,-1.37204
# Std,,0.0,NaN,0.0,0.019
NC_001341,NC_003454,60.0,NaN,NaN,-1.35728
NC_001341,NC_012004,60.0,NaN,NaN,-1.35615
NC_001341,NC_014802,52.0,NaN,0.484772,-1.3554
NC_001341,NC_022660,48.0,NaN,0.484772,-1.36193
NC_001341,NC_017519,NaN,NaN,0.484772,-1.36034
NC_001341,NC_022132,NaN,NaN,0.484772,-1.3612
NC_001341,NC_019552,NaN,NaN,0.484772,-1.36731
NC_001341,NC_012785,NaN,NaN,0.484772,-1.37614
NC_001341,NC_008787,NaN,NaN,0.484772,-1.35901
NC_001341,NC_018709,NaN,NaN,0.484772,-1.35735
NC_001341,NC_017281,NaN,NaN,0.484772,-1.35699
NC_001341,NC_022362,NaN,NaN,0.484772,-1.35843
NC_001341,NC_003912,NaN,NaN,0.484772,-1.35543
NC_001341,NC_018521,NaN,NaN,0.484772,-1.35668
NC_001341,NC_022347,NaN,NaN,0.484772,-1.36563
NC_001341,NC_018418,NaN,NaN,0.484772,-1.36981
NC_001341,NC_017279,NaN,NaN,0.484772,-1.35685
NC_001341,NC_002163,NaN,NaN,0.484772,-1.35667
NC_001341,NC_014448,NaN,NaN,0.484772,-1.36752
NC_001341,NC_021834,NaN,NaN,0.484772,-1.35709
NC_001341,NC_017280,NaN,NaN,0.484772,-1.35769
NC_001341,NC_009839,NaN,NaN,0.484772,-1.35806
NC_001341,NC_014393,NaN,NaN,NaN,-1.33852
# Std,,5.196,NaN,0.0,0.007
NC_001396,NC_007508,2276.0,NaN,0.5989530000000001,-1.3803
NC_001396,NC_017271,2236.0,NaN,0.6104350000000001,-1.37419
NC_001396,NC_010682,NaN,NaN,NaN,-1.37136
# Std,,20.0,NaN,0.006,0.004
NC_001416,NC_012892,42436.0,NaN,0.802649,-1.34188
NC_001416,NC_012947,42436.0,NaN,0.80259,-1.36901
NC_001416,NC_012971,42436.0,NaN,0.802649,-1.34188
NC_001416,NC_012759,39942.0,NaN,0.805237,-1.33863
NC_001416,NC_013941,32484.0,NaN,0.77579,-1.334
# Std,,3854.394,NaN,0.011,0.012
NC_001417,NC_009901,50.0,NaN,NaN,-1.42539
NC_001417,NC_015174,NaN,NaN,0.484772,-1.42602
NC_001417,NC_001382,NaN,NaN,NaN,-1.38597
# Std,,0.0,NaN,0.0,0.019
NC_001418,NC_000913,56.0,NaN,NaN,-1.39512
NC_001418,NC_002655,56.0,NaN,NaN,-1.39315
NC_001418,NC_002695,56.0,NaN,NaN,-1.39154
NC_001418,NC_004337,56.0,NaN,NaN,-1.40539
NC_001418,NC_004741,56.0,NaN,NaN,-1.4043
NC_001418,NC_007613,56.0,NaN,NaN,-1.40486
NC_001418,NC_007779,56.0,NaN,NaN,-1.39567
NC_001418,NC_008258,56.0,NaN,NaN,-1.40195
NC_001418,NC_009800,56.0,NaN,NaN,-1.3937
NC_001418,NC_009801,56.0,NaN,NaN,-1.39302
NC_001418,NC_010468,56.0,NaN,NaN,-1.39107
NC_001418,NC_010473,56.0,NaN,NaN,-1.39567
NC_001418,NC_010658,56.0,NaN,NaN,-1.40899
NC_001418,NC_011353,56.0,NaN,NaN,-1.39167
NC_001418,NC_011415,56.0,NaN,NaN,-1.39528
NC_001418,NC_011741,56.0,NaN,NaN,-1.39518
NC_001418,NC_011748,56.0,NaN,NaN,-1.39164
NC_001418,NC_012759,56.0,NaN,NaN,-1.39457
NC_001418,NC_012892,56.0,NaN,NaN,-1.39445
NC_001418,NC_012947,56.0,NaN,NaN,-1.38967
NC_001418,NC_012967,56.0,NaN,NaN,-1.39492
NC_001418,NC_012971,56.0,NaN,NaN,-1.39445
NC_001418,NC_013008,56.0,NaN,NaN,-1.39158
NC_001418,NC_013353,56.0,NaN,NaN,-1.39667
NC_001418,NC_013361,56.0,NaN,NaN,-1.39374
NC_001418,NC_013364,56.0,NaN,NaN,-1.39766
NC_001418,NC_013941,56.0,NaN,NaN,-1.39193
NC_001418,NC_016822,56.0,NaN,NaN,-1.39837
NC_001418,NC_016902,56.0,NaN,NaN,-1.39108
NC_001418,NC_017328,56.0,NaN,NaN,-1.4034
NC_001418,NC_017625,56.0,NaN,NaN,-1.39239
NC_001418,NC_017633,56.0,NaN,NaN,-1.39277
NC_001418,NC_017635,56.0,NaN,NaN,-1.39439
NC_001418,NC_017638,56.0,NaN,NaN,-1.39559
NC_001418,NC_017656,56.0,NaN,NaN,-1.39164
NC_001418,NC_017660,56.0,NaN,NaN,-1.39971
NC_001418,NC_017663,56.0,NaN,NaN,-1.394
NC_001418,NC_017664,56.0,NaN,NaN,-1.39427
NC_001418,NC_017906,56.0,NaN,NaN,-1.39181
NC_001418,NC_018650,56.0,NaN,NaN,-1.39249
NC_001418,NC_018658,56.0,NaN,NaN,-1.39262
NC_001418,NC_018661,56.0,NaN,NaN,-1.39218
NC_001418,NC_020163,56.0,NaN,NaN,-1.39246
NC_001418,NC_020518,56.0,NaN,NaN,-1.39668
NC_001418,NC_022364,56.0,NaN,NaN,-1.39602
NC_001418,NC_018002,46.0,NaN,0.484772,-1.39412
NC_001418,NC_018645,NaN,NaN,0.484772,-1.38518
NC_001418,NC_013166,NaN,NaN,NaN,-1.37321
# Std,,1.458,NaN,0.0,0.005
NC_001420,NC_017449,52.0,NaN,NaN,-1.41349
NC_001420,NC_001382,NaN,NaN,NaN,-1.38644
# Std,,0.0,NaN,NaN,0.014
NC_001421,NC_016603,68.0,NaN,NaN,-1.3865
NC_001421,NC_019393,NaN,NaN,0.484772,-1.36478
NC_001421,NC_022579,NaN,NaN,0.484772,-1.37527
NC_001421,NC_021713,NaN,NaN,0.484772,-1.36462
NC_001421,NC_008639,NaN,NaN,0.484772,-1.39111
NC_001421,NC_018020,NaN,NaN,0.484772,-1.39571
NC_001421,NC_011138,NaN,NaN,0.484772,-1.36522
NC_001421,NC_009840,NaN,NaN,0.484772,-1.40744
NC_001421,NC_022575,NaN,NaN,0.484772,-1.39921
NC_001421,NC_020055,NaN,NaN,0.484772,-1.37527
NC_001421,NC_021714,NaN,NaN,0.484772,-1.3656
NC_001421,NC_015572,NaN,NaN,NaN,-1.35481
# Std,,0.0,NaN,0.0,0.016
NC_001422,NC_017845,72.0,NaN,NaN,-1.38279
NC_001422,NC_014803,46.0,NaN,0.484772,-1.39119
NC_001422,NC_014810,46.0,NaN,0.484772,-1.41251
NC_001422,NC_017986,NaN,NaN,0.484772,-1.44496
NC_001422,NC_008709,NaN,NaN,0.484772,-1.39267
NC_001422,NC_018220,NaN,NaN,0.484772,-1.44185
NC_001422,NC_009512,NaN,NaN,0.484772,-1.44673
NC_001422,NC_009654,NaN,NaN,NaN,-1.37272
# Std,,12.257,NaN,0.0,0.028
NC_001426,NC_014810,48.0,NaN,NaN,-1.42095
NC_001426,NC_001382,NaN,NaN,NaN,-1.38618
# Std,,0.0,NaN,NaN,0.017
NC_001447,NC_010163,92.0,NaN,NaN,-1.3218
NC_001447,NC_013515,52.0,NaN,0.484772,-1.34659
NC_001447,NC_016632,48.0,NaN,0.484772,-1.34729
NC_001447,NC_018414,48.0,NaN,0.484772,-1.37572
NC_001447,NC_018643,50.0,NaN,0.484772,-1.3406
NC_001447,NC_018607,NaN,NaN,0.484772,-1.35045
NC_001447,NC_019776,NaN,NaN,0.484772,-1.35577
NC_001447,NC_009840,NaN,NaN,0.484772,-1.33967
NC_001447,NC_013454,NaN,NaN,0.484772,-1.36363
NC_001447,NC_020450,NaN,NaN,0.484772,-1.34814
NC_001447,NC_018415,NaN,NaN,0.484772,-1.37745
NC_001447,NC_017486,NaN,NaN,0.484772,-1.34748
NC_001447,NC_007577,NaN,NaN,0.484772,-1.34192
NC_001447,NC_002662,NaN,NaN,0.484772,-1.349
NC_001447,NC_021500,NaN,NaN,0.484772,-1.42337
NC_001447,NC_018604,NaN,NaN,0.484772,-1.34819
NC_001447,NC_002771,NaN,NaN,0.484772,-1.35126
NC_001447,NC_013656,NaN,NaN,0.484772,-1.34609
NC_001447,NC_004344,NaN,NaN,0.484772,-1.36293
NC_001447,NC_022593,NaN,NaN,0.484772,-1.34698
NC_001447,NC_004552,NaN,NaN,0.484772,-1.37161
NC_001447,NC_010163,92.0,NaN,NaN,-1.3218
# Std,,20.08,NaN,0.0,0.021
NC_001604,NC_012892,5394.0,NaN,0.6755720000000001,-1.41692
NC_001604,NC_012947,5394.0,NaN,0.6755720000000001,-1.41817
NC_001604,NC_012971,5394.0,NaN,0.6755720000000001,-1.41692
NC_001604,NC_012892,5394.0,NaN,0.6755720000000001,-1.41692
NC_001604,NC_012947,5394.0,NaN,0.6755720000000001,-1.41817
NC_001604,NC_012971,5394.0,NaN,0.6755720000000001,-1.41692
NC_001604,NC_001382,NaN,NaN,NaN,-1.38654
# Std,,0.0,NaN,0.0,0.011
NC_001609,NC_007613,14294.0,NaN,0.717224,-1.36113
NC_001609,NC_017628,14212.0,NaN,0.733529,-1.36948
NC_001609,NC_010468,13652.0,NaN,0.7089829999999999,-1.34023
# Std,,285.285,NaN,0.01,0.012
NC_001628,NC_014217,48.0,NaN,NaN,-1.45076
NC_001628,NC_015596,48.0,NaN,NaN,-1.41573
NC_001628,NC_021252,48.0,NaN,NaN,-1.46064
NC_001628,NC_001382,NaN,NaN,NaN,-1.38652
# Std,,0.0,NaN,NaN,0.029
NC_001697,NC_017451,13176.0,NaN,0.808006,-1.30872
NC_001697,NC_017451,13176.0,NaN,0.808006,-1.30872
NC_001697,NC_017451,13176.0,NaN,0.808006,-1.30872
# Std,,0.0,NaN,0.0,0.0
NC_001706,NC_017486,776.0,NaN,0.5507850000000001,-1.35852
NC_001706,NC_017486,776.0,NaN,0.5507850000000001,-1.35852
NC_001706,NC_010382,NaN,NaN,NaN,-1.35504
# Std,,0.0,NaN,0.0,0.002
NC_001741,NC_003210,50.0,NaN,NaN,-1.37044
NC_001741,NC_013766,50.0,NaN,NaN,-1.37012
NC_001741,NC_013768,50.0,NaN,NaN,-1.37066
NC_001741,NC_017270,50.0,NaN,NaN,-1.40311
NC_001741,NC_017544,50.0,NaN,NaN,-1.37087
NC_001741,NC_017545,50.0,NaN,NaN,-1.3708
NC_001741,NC_017546,50.0,NaN,NaN,-1.37045
NC_001741,NC_017547,50.0,NaN,NaN,-1.3706
NC_001741,NC_017567,50.0,NaN,NaN,-1.37169
NC_001741,NC_018588,50.0,NaN,NaN,-1.36991
NC_001741,NC_018589,50.0,NaN,NaN,-1.37004
NC_001741,NC_018592,50.0,NaN,NaN,-1.36983
NC_001741,NC_018593,50.0,NaN,NaN,-1.37102
NC_001741,NC_018712,50.0,NaN,NaN,-1.37252
NC_001741,NC_021823,50.0,NaN,NaN,-1.37028
NC_001741,NC_021837,50.0,NaN,NaN,-1.3705
NC_001741,NC_022568,50.0,NaN,NaN,-1.36976
NC_001741,NC_015431,48.0,NaN,0.484772,-1.38592
NC_001741,NC_015682,NaN,NaN,0.484772,-1.37238
NC_001741,NC_015177,NaN,NaN,NaN,-1.34809
# Std,,0.458,NaN,0.0,0.009
NC_001825,NC_021486,144.0,NaN,NaN,-1.37052
NC_001825,NC_010376,56.0,NaN,0.484772,-1.37176
NC_001825,NC_014654,50.0,NaN,0.484772,-1.38479
NC_001825,NC_017256,50.0,NaN,0.484772,-1.38215
NC_001825,NC_017455,48.0,NaN,0.484772,-1.39086
NC_001825,NC_009497,NaN,NaN,0.484772,-1.37723
NC_001825,NC_013504,NaN,NaN,0.484772,-1.37362
NC_001825,NC_013192,NaN,NaN,0.484772,-1.37575
NC_001825,NC_017477,NaN,NaN,0.484772,-1.37463
NC_001825,NC_014109,NaN,NaN,0.484772,-1.37955
NC_001825,NC_015380,NaN,NaN,0.484772,-1.37809
NC_001825,NC_017581,NaN,NaN,0.484772,-1.3706
NC_001825,NC_022793,NaN,NaN,0.484772,-1.37808
NC_001825,NC_006138,NaN,NaN,0.484772,-1.39079
NC_001825,NC_016627,NaN,NaN,0.484772,-1.37448
NC_001825,NC_002528,NaN,NaN,0.484772,-1.37965
NC_001825,NC_018149,NaN,NaN,0.484772,-1.38586
NC_001825,NC_004344,NaN,NaN,0.484772,-1.38476
NC_001825,NC_009718,NaN,NaN,0.484772,-1.37375
NC_001825,NC_022244,NaN,NaN,NaN,-1.36023
# Std,,37.297,NaN,0.0,0.007
NC_001835,NC_002662,444.0,NaN,NaN,-1.34579
NC_001835,NC_014497,48.0,NaN,0.577432,-1.38365
NC_001835,NC_014393,50.0,NaN,0.484772,-1.34036
# Std,,186.207,NaN,0.046,0.019
NC_001884,NC_018520,268792.0,NaN,0.868628,-1.36083
NC_001884,NC_018520,268792.0,NaN,0.868628,-1.36083
NC_001884,NC_014759,NaN,NaN,NaN,-1.34112
# Std,,0.0,NaN,0.0,0.009
NC_001890,NC_002939,48.0,NaN,NaN,-1.44268
NC_001890,NC_010520,48.0,NaN,NaN,-1.45856
NC_001890,NC_017454,48.0,NaN,NaN,-1.44145
NC_001890,NC_001382,NaN,NaN,NaN,-1.38633
# Std,,0.0,NaN,NaN,0.027
NC_001895,NC_010498,24654.0,NaN,0.756711,-1.34229
NC_001895,NC_008563,17514.0,NaN,0.771636,-1.33707
NC_001895,NC_008563,17514.0,NaN,0.771636,-1.33707
# Std,,3365.828,NaN,0.007,0.002
NC_001900,NC_016111,388.0,NaN,NaN,-1.34278
NC_001900,NC_017586,388.0,NaN,NaN,-1.34278
NC_001900,NC_008148,100.0,NaN,0.517779,-1.36052
NC_001900,NC_017934,98.0,NaN,0.517779,-1.42327
NC_001900,NC_021280,NaN,NaN,0.517779,-1.42738
NC_001900,NC_017080,NaN,NaN,0.517779,-1.34989
NC_001900,NC_021284,NaN,NaN,0.517779,-1.42919
NC_001900,NC_016604,94.0,NaN,NaN,-1.31608
# Std,,142.41,NaN,0.0,0.042
NC_001901,NC_014121,13794.0,NaN,0.6638569999999999,-1.37093
NC_001901,NC_014121,13794.0,NaN,0.6638569999999999,-1.37093
NC_001901,NC_014121,13794.0,NaN,0.6638569999999999,-1.37093
# Std,,0.0,NaN,0.0,0.0
NC_001909,NC_008527,1616.0,NaN,0.5989530000000001,-1.34843
NC_001909,NC_008527,1616.0,NaN,0.5989530000000001,-1.34843
NC_001909,NC_022593,948.0,NaN,0.56141,-1.33966
# Std,,314.898,NaN,0.018,0.004
NC_001942,NC_011025,31208.0,30.0,0.8443309999999999,-1.24116
NC_001942,NC_011025,31208.0,30.0,0.8443309999999999,-1.24116
NC_001942,NC_011025,31208.0,30.0,0.8443309999999999,-1.24116
NC_001942,NC_011025,31208.0,30.0,0.8443309999999999,-1.24116
# Std,,0.0,0.0,0.0,0.0
NC_001954,NC_010498,2904.0,NaN,0.64672,-1.3782
NC_001954,NC_010498,2904.0,NaN,0.64672,-1.3782
NC_001954,NC_014228,608.0,NaN,NaN,-1.36935
# Std,,1082.345,NaN,0.0,0.004
NC_001956,NC_002505,1198.0,NaN,0.636097,-1.37615
NC_001956,NC_016944,1198.0,NaN,0.634071,-1.37557
NC_001956,NC_009456,492.0,NaN,0.6380399999999999,-1.38771
NC_001956,NC_012583,492.0,NaN,0.6380399999999999,-1.38422
NC_001956,NC_009654,NaN,NaN,NaN,-1.37056
# Std,,353.0,NaN,0.002,0.006
NC_001998,NC_017285,434.0,NaN,0.577432,-1.36869
NC_001998,NC_017285,434.0,NaN,0.577432,-1.36869
NC_001998,NC_000922,292.0,NaN,0.484772,-1.36667
# Std,,66.939,NaN,0.044,0.001
NC_002014,NC_017632,914.0,NaN,NaN,-1.38571
NC_002014,NC_011768,NaN,NaN,0.484772,-1.42307
NC_002014,NC_005126,NaN,NaN,NaN,-1.36284
# Std,,0.0,NaN,0.0,0.025
NC_002072,NC_017595,9446.0,NaN,0.641704,-1.36268
NC_002072,NC_017563,78.0,30.0,0.484772,-1.37158
NC_002072,NC_017595,9446.0,NaN,0.641704,-1.36268
NC_002072,NC_017595,9446.0,NaN,0.641704,-1.36268
# Std,,4056.463,0.0,0.068,0.004
NC_002166,NC_017641,9134.0,NaN,0.7182930000000001,-1.37389
NC_002166,NC_013364,5350.0,NaN,0.719338,-1.37281
NC_002166,NC_013361,4000.0,NaN,0.708118,-1.36793
# Std,,2173.045,NaN,0.005,0.003
NC_002167,NC_017663,10090.0,NaN,0.720361,-1.36949
NC_002167,NC_012731,66.0,31.0,NaN,-1.39072
NC_002167,NC_017641,9890.0,NaN,0.7311719999999999,-1.37176
NC_002167,NC_017626,4500.0,NaN,0.7020770000000001,-1.36611
# Std,,4160.77,0.0,0.012,0.01
NC_002180,NC_017285,434.0,NaN,0.577432,-1.36904
NC_002180,NC_017285,434.0,NaN,0.577432,-1.36904
NC_002180,NC_015702,NaN,NaN,NaN,-1.3663
# Std,,0.0,NaN,0.0,0.001
NC_002185,NC_017595,13772.0,NaN,0.648281,-1.36238
NC_002185,NC_017563,428.0,31.0,0.5507850000000001,-1.3693
NC_002185,NC_017581,326.0,31.0,0.537086,-1.369
NC_002185,NC_017595,13772.0,NaN,0.648281,-1.36238
NC_002185,NC_017595,13772.0,NaN,0.648281,-1.36238
# Std,,6562.262,0.0,0.051,0.003
NC_002194,NC_017285,442.0,NaN,0.570091,-1.37034
NC_002194,NC_017285,442.0,NaN,0.570091,-1.37034
NC_002194,NC_018068,NaN,NaN,NaN,-1.36705
# Std,,0.0,NaN,0.0,0.002
NC_002214,NC_002662,1944.0,NaN,0.5507850000000001,-1.37248
NC_002214,NC_006448,60.0,30.0,0.484772,-1.36821
NC_002214,NC_006449,82.0,30.0,0.517779,-1.36837
NC_002214,NC_002662,1944.0,NaN,0.5507850000000001,-1.37248
NC_002214,NC_013798,168.0,NaN,NaN,-1.36419
# Std,,902.461,0.0,0.027,0.003
NC_002321,NC_022113,40844.0,NaN,0.814311,-1.33365
NC_002321,NC_003923,36990.0,NaN,0.819495,-1.33359
NC_002321,NC_013450,34516.0,NaN,0.786425,-1.31406
# Std,,2603.792,NaN,0.015,0.009
NC_002362,NC_004603,15054.0,NaN,0.752622,-1.3396
NC_002362,NC_004603,15054.0,NaN,0.752622,-1.3396
NC_002362,NC_004603,15054.0,NaN,0.752622,-1.3396
# Std,,0.0,NaN,0.0,0.0
NC_002363,NC_004603,12210.0,NaN,0.742786,-1.33851
NC_002363,NC_004603,12210.0,NaN,0.742786,-1.33851
NC_002363,NC_004603,12210.0,NaN,0.742786,-1.33851
# Std,,0.0,NaN,0.0,0.0
NC_002371,NC_021810,22734.0,NaN,0.789886,-1.35872
NC_002371,NC_021812,22734.0,NaN,0.789886,-1.35857
NC_002371,NC_017623,22726.0,NaN,0.790272,-1.3586
NC_002371,NC_011083,22728.0,NaN,0.788787,-1.3585
# Std,,3.571,NaN,0.001,0.0
NC_002484,NC_011770,6498.0,NaN,0.720361,-1.37487
NC_002484,NC_023066,6498.0,NaN,0.7206969999999999,-1.37512
NC_002484,NC_023066,6498.0,NaN,0.7206969999999999,-1.37512
NC_002484,NC_016631,NaN,NaN,NaN,-1.36152
# Std,,0.0,NaN,0.0,0.006
NC_002486,NC_017337,34176.0,NaN,0.815133,-1.32108
NC_002486,NC_017337,34176.0,NaN,0.815133,-1.32108
NC_002486,NC_013450,22416.0,NaN,0.791562,-1.31712
# Std,,5543.717,NaN,0.011,0.002
NC_002515,NC_020549,116.0,NaN,NaN,-1.32838
NC_002515,NC_005957,90.0,NaN,0.484772,-1.30276
NC_002515,NC_007633,48.0,NaN,0.484772,-1.29107
NC_002515,NC_009495,52.0,NaN,0.484772,-1.28226
NC_002515,NC_009697,52.0,NaN,0.484772,-1.28239
NC_002515,NC_009698,52.0,NaN,0.484772,-1.28282
NC_002515,NC_009699,52.0,NaN,0.484772,-1.28114
NC_002515,NC_010516,50.0,NaN,0.484772,-1.28139
NC_002515,NC_010520,50.0,NaN,0.484772,-1.28153
NC_002515,NC_010544,48.0,NaN,0.484772,-1.30885
NC_002515,NC_010546,48.0,NaN,0.484772,-1.30585
NC_002515,NC_011773,90.0,NaN,0.484772,-1.30102
NC_002515,NC_012563,52.0,NaN,0.484772,-1.28163
NC_002515,NC_012658,52.0,NaN,0.484772,-1.28223
NC_002515,NC_014934,52.0,NaN,0.484772,-1.28345
NC_002515,NC_017243,50.0,NaN,0.484772,-1.29319
NC_002515,NC_017297,52.0,NaN,0.484772,-1.28112
NC_002515,NC_017299,52.0,NaN,0.484772,-1.28049
NC_002515,NC_020830,48.0,NaN,0.484772,-1.28859
NC_002515,NC_013418,NaN,NaN,0.484772,-1.31436
NC_002515,NC_018417,NaN,NaN,0.484772,-1.353
NC_002515,NC_015975,NaN,NaN,0.484772,-1.36511
NC_002515,NC_020195,NaN,NaN,0.484772,-1.31319
NC_002515,NC_016632,NaN,NaN,0.484772,-1.32537
NC_002515,NC_021894,NaN,NaN,0.484772,-1.34399
NC_002515,NC_008512,NaN,NaN,0.484772,-1.34342
NC_002515,NC_015558,NaN,NaN,0.484772,-1.3008
NC_002515,NC_019678,NaN,NaN,0.484772,-1.30522
NC_002515,NC_004061,NaN,NaN,0.484772,-1.31166
NC_002515,NC_010336,NaN,NaN,0.484772,-1.30021
NC_002515,NC_004545,NaN,NaN,0.484772,-1.31847
NC_002515,NC_009617,68.0,NaN,NaN,-1.274
# Std,,17.914,NaN,0.0,0.023
NC_002643,NC_021878,54.0,NaN,NaN,-1.42713
NC_002643,NC_022545,54.0,NaN,0.484772,-1.42907
NC_002643,NC_003063,52.0,NaN,0.484772,-1.42728
NC_002643,NC_022545,54.0,NaN,0.484772,-1.42907
NC_002643,NC_001382,NaN,NaN,NaN,-1.38668
# Std,,0.866,NaN,0.0,0.017
NC_002656,NC_021282,522.0,NaN,NaN,-1.32817
NC_002656,NC_014931,56.0,NaN,0.517779,-1.3535
NC_002656,NC_014962,52.0,NaN,0.517779,-1.3553
NC_002656,NC_017075,52.0,NaN,0.517779,-1.36396
NC_002656,NC_022247,54.0,NaN,0.517779,-1.3578
NC_002656,NC_021985,NaN,NaN,0.517779,-1.34353
NC_002656,NC_016604,50.0,NaN,NaN,-1.32322
# Std,,174.87,NaN,0.0,0.014
NC_002661,NC_010079,53366.0,NaN,0.814587,-1.3301
NC_002661,NC_017338,53352.0,NaN,0.815449,-1.33134
NC_002661,NC_009487,43820.0,NaN,0.809409,-1.30066
# Std,,4496.731,NaN,0.003,0.014
NC_002666,NC_002662,71060.0,NaN,0.832655,-1.28745
NC_002666,NC_002662,71060.0,NaN,0.832655,-1.28745
NC_002666,NC_002662,71060.0,NaN,0.832655,-1.28745
# Std,,0.0,NaN,0.0,0.0
NC_002667,NC_002662,83592.0,NaN,0.840514,-1.32748
