Virus,Host,Score
NC_003288|1,NC_009674|1,42
NC_001884|1,NC_006322|1,490
NC_001884|1,NC_006322|1,467
NC_001884|1,NC_006322|1,371
NC_001884|1,NC_006322|1,301
NC_001884|1,NC_006322|1,229
NC_001884|1,NC_006322|1,194
NC_001884|1,NC_006322|1,159
NC_001884|1,NC_006322|1,146
NC_001884|1,NC_006322|1,143
NC_001884|1,NC_006322|1,134
NC_001884|1,NC_006322|1,131
NC_001884|1,NC_006322|1,123
NC_001884|1,NC_006322|1,111
NC_001884|1,NC_006322|1,90
NC_001884|1,NC_006322|1,86
NC_001884|1,NC_006322|1,82
NC_001884|1,NC_006322|1,80
NC_001884|1,NC_006322|1,76
NC_001884|1,NC_006322|1,63
NC_001884|1,NC_006322|1,48
NC_001884|1,NC_006322|1,46
NC_001884|1,NC_006322|1,45
NC_001884|1,NC_006322|1,44
NC_001884|1,NC_006322|1,44
NC_003324|1,NC_004129|1,203
NC_003324|1,NC_004129|1,51
NC_003324|1,NC_004129|1,48
NC_003324|1,NC_004129|1,48
NC_003324|1,NC_004129|1,47
NC_003324|1,NC_004129|1,47
NC_003324|1,NC_004129|1,46
NC_003324|1,NC_004129|1,46
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,44
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,43
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_003324|1,NC_004129|1,42
NC_002669|1,NC_002662|1,29914
NC_002669|1,NC_002662|1,1125
NC_002669|1,NC_002662|1,376
NC_002669|1,NC_002662|1,301
NC_002669|1,NC_002662|1,239
NC_002669|1,NC_002662|1,169
NC_002669|1,NC_002662|1,161
NC_002669|1,NC_002662|1,71
NC_002669|1,NC_002662|1,56
NC_002669|1,NC_002662|1,56
NC_002669|1,NC_002662|1,48
NC_002669|1,NC_002662|1,48
NC_002669|1,NC_002662|1,48
NC_002669|1,NC_002662|1,48
NC_002669|1,NC_002662|1,48
NC_002669|1,NC_002662|1,47
NC_002669|1,NC_002662|1,47
NC_002669|1,NC_002662|1,46
NC_002669|1,NC_002662|1,43
NC_002669|1,NC_002662|1,42
NC_002669|1,NC_002662|1,42
NC_002669|1,NC_002662|1,41
NC_002669|1,NC_002662|1,41
NC_002669|1,NC_002662|1,40
NC_002669|1,NC_002662|1,40
NC_004112|1,NC_006322|1,96
NC_004112|1,NC_006322|1,57
NC_004112|1,NC_006322|1,45
NC_004306|1,NC_004603|1,75
NC_004306|1,NC_004603|1,50
NC_004306|1,NC_004603|1,48
NC_004306|1,NC_004603|1,42
NC_004175|1,NC_008150|1,45
NC_004175|1,NC_008150|1,42
NC_003298|1,NC_008527|1,45
NC_000929|1,NC_004347|1,290
NC_000929|1,NC_004347|1,120
NC_000929|1,NC_004347|1,88
NC_000929|1,NC_004347|1,85
NC_000929|1,NC_004347|1,62
NC_000929|1,NC_004347|1,50
NC_000929|1,NC_004347|1,47
NC_000929|1,NC_004347|1,47
NC_000929|1,NC_004347|1,44
NC_000929|1,NC_004347|1,44
NC_000929|1,NC_004347|1,42
NC_000929|1,NC_004347|1,42
NC_003309|1,NC_004129|1,317
NC_003309|1,NC_004129|1,77
NC_003309|1,NC_004129|1,73
NC_003309|1,NC_004129|1,61
NC_003309|1,NC_004129|1,58
NC_003309|1,NC_004129|1,51
NC_003309|1,NC_004129|1,48
NC_003309|1,NC_004129|1,47
NC_003309|1,NC_004129|1,46
NC_003309|1,NC_004129|1,46
NC_003309|1,NC_004129|1,45
NC_003309|1,NC_004129|1,45
NC_003309|1,NC_004129|1,44
NC_003309|1,NC_004129|1,44
NC_003309|1,NC_004129|1,44
NC_003309|1,NC_004129|1,44
NC_003309|1,NC_004129|1,43
NC_003309|1,NC_004129|1,43
NC_003309|1,NC_004129|1,43
NC_003309|1,NC_004129|1,42
NC_003309|1,NC_004129|1,42
NC_003309|1,NC_004129|1,42
NC_003309|1,NC_004129|1,42
NC_003309|1,NC_004129|1,42
NC_003309|1,NC_004129|1,42
NC_001609|1,NC_008150|1,178
NC_001609|1,NC_008150|1,131
NC_001609|1,NC_008150|1,83
NC_001609|1,NC_008150|1,79
NC_001609|1,NC_008150|1,59
NC_001609|1,NC_008150|1,56
NC_001609|1,NC_008150|1,46
NC_001609|1,NC_008150|1,42
NC_001609|1,NC_008150|1,40
NC_001609|1,NC_008150|1,40
NC_002194|1,NC_006156|1,46
NC_002194|1,NC_006156|1,39
NC_002194|1,NC_006156|1,38
NC_002700|1,NC_006322|1,44
NC_002700|1,NC_006322|1,42
NC_002700|1,NC_006322|1,41
NC_001741|1,NC_008512|1,46
NC_001741|1,NC_008512|1,44
NC_004165|1,NC_006322|1,52
NC_004165|1,NC_006322|1,40
NC_003287|1,NC_004603|1,50
NC_003287|1,NC_004603|1,44
NC_004333|1,NC_004347|1,92
NC_004333|1,NC_004347|1,92
NC_001422|1,NC_006322|1,49
NC_001422|1,NC_006322|1,40
NC_001422|1,NC_006322|1,38
NC_003716|1,NC_009445|1,46
NC_003716|1,NC_009445|1,42
NC_003716|1,NC_009445|1,39
NC_003716|1,NC_009445|1,39
NC_003716|1,NC_009445|1,39
NC_003716|1,NC_009445|1,38
NC_003327|1,NC_004603|1,116
NC_003327|1,NC_004603|1,74
NC_003327|1,NC_004603|1,52
NC_003327|1,NC_004603|1,43
